age,dependents,employment_status,employment_years,monthly_income,monthly_expenses,credit_score,existing_loans,existing_emi,loan_amount,loan_term_months,interest_rate,property_value,savings_balance,missed_payments_last_year,bankruptcies,dti_ratio,requested_emi,total_emi_burden,savings_ratio,loan_to_income_ratio,approved
57,2,salaried,9.4,2355.0,1656.0,744,1,576.0,128600.0,120,10.3,317300.0,4754.0,3,0,0.9478,1720.89,0.9753,0.0522,4.5506,1
27,2,self_employed,1.9,3216.0,1861.0,623,1,765.0,142400.0,48,14.4,302100.0,9800.0,0,0,0.8165,3919.92,1.4568,0.1835,3.6899,0
41,1,salaried,2.1,6359.0,3586.0,699,2,2123.0,372300.0,60,12.0,783900.0,50149.0,3,0,0.8978,8281.61,1.6362,0.1022,4.8789,0
29,1,freelancer,0.8,4394.0,1958.0,726,2,1318.0,210400.0,12,7.3,380800.0,7542.0,1,0,0.7456,18234.34,2.0,0.2544,3.9903,1
59,0,self_employed,1.7,5786.0,1745.0,602,0,0.0,190300.0,12,8.8,266600.0,191.0,1,0,0.3016,16624.37,2.0,0.6984,2.7408,1
38,2,salaried,3.4,5435.0,3055.0,729,1,1062.0,126500.0,120,11.6,299800.0,8245.0,0,0,0.7575,1785.78,0.524,0.2425,1.9396,1
24,1,business_owner,3.6,6525.0,3541.0,712,1,1390.0,126600.0,36,13.0,302200.0,9259.0,0,0,0.7557,4265.65,0.8668,0.2443,1.6169,1
45,0,freelancer,3.8,4615.0,2441.0,783,2,1111.0,169700.0,24,6.0,312300.0,3201.0,1,0,0.7697,7521.21,1.8705,0.2303,3.0643,1
34,3,self_employed,4.4,9161.0,5350.0,753,4,4689.0,162500.0,12,16.0,218500.0,39311.0,1,0,1.0958,14743.76,2.0,-0.0958,1.4782,0
29,1,salaried,5.6,6201.0,3430.0,765,2,860.0,207600.0,48,5.6,306700.0,36917.0,0,0,0.6918,4837.51,0.9188,0.3082,2.7899,1
46,1,salaried,1.8,7305.0,3325.0,531,1,1854.0,312300.0,48,8.5,504800.0,86335.0,1,0,0.709,7697.67,1.3076,0.291,3.5626,0
22,0,freelancer,6.2,2403.0,1226.0,708,0,0.0,128200.0,240,12.6,211300.0,4234.0,0,0,0.5102,1465.58,0.6099,0.4898,4.4458,1
40,2,business_owner,3.0,5200.0,3232.0,637,0,0.0,278800.0,36,7.9,638200.0,36919.0,1,0,0.6215,8723.72,1.6776,0.3785,4.4679,0
48,3,salaried,8.4,1531.0,864.0,770,1,370.0,17899.0,120,9.2,0.0,11023.0,2,0,0.806,212.08,0.3802,0.194,0.9035,1
27,1,self_employed,5.4,6453.0,3223.0,699,0,0.0,273400.0,36,11.7,361400.0,67159.0,1,0,0.4995,9041.67,1.4012,0.5005,3.5307,1
64,0,self_employed,5.3,3123.0,1407.0,773,0,0.0,87700.0,84,10.2,0.0,29010.0,1,0,0.4505,1465.0,0.4691,0.5495,2.3402,1
28,2,salaried,7.4,2532.0,1375.0,850,1,150.0,27300.0,48,12.1,0.0,1316.0,0,0,0.6023,720.25,0.3437,0.3977,0.8985,1
55,0,freelancer,2.9,2937.0,1534.0,703,1,517.0,119900.0,48,9.1,180500.0,16762.0,0,0,0.6983,2989.41,1.1939,0.3017,3.402,1
34,2,salaried,3.9,6804.0,2743.0,695,2,3352.0,81600.0,84,9.5,0.0,35971.0,0,0,0.8958,1333.67,0.6887,0.1042,0.9994,0
37,2,salaried,5.7,3617.0,2123.0,623,2,894.0,80600.0,84,8.2,0.0,39268.0,0,0,0.8341,1264.3,0.5967,0.1659,1.857,1
56,0,salaried,3.8,9203.0,4405.0,748,3,1387.0,290900.0,36,10.7,697900.0,11961.0,0,0,0.6294,9482.42,1.1811,0.3706,2.6341,1
60,0,salaried,4.0,5102.0,1472.0,845,1,754.0,76100.0,48,8.3,0.0,47878.0,1,0,0.4363,1868.56,0.514,0.5637,1.243,1
24,2,salaried,2.4,10516.0,4976.0,751,2,4880.0,252600.0,12,11.0,371700.0,126401.0,0,0,0.9372,22325.21,2.0,0.0628,2.0017,1
22,1,business_owner,2.5,27151.170000000006,16188.520000000011,655,1,11908.0,500000.0,60,7.8,779400.0,175902.26,4,0,0.7647,10090.41,0.4587,0.2353,0.8689,1
26,0,freelancer,7.7,2662.0,2246.0,652,0,0.0,106400.0,36,14.7,180400.0,1129.0,0,0,0.8437,3672.78,1.3797,0.1563,3.3308,1
62,3,salaried,0.5,3808.0,2569.0,589,1,516.0,47200.0,48,11.5,0.0,8296.0,0,1,0.8101,1231.4,0.4589,0.1899,1.0329,0
24,1,freelancer,1.1,6969.0,3291.0,787,0,0.0,410400.0,48,9.4,583200.0,9735.0,3,0,0.4722,10290.95,1.4767,0.5278,4.9074,1
49,1,freelancer,18.3,4452.0,3611.0,765,0,0.0,28800.0,60,7.5,0.0,15548.0,1,0,0.8111,577.09,0.1296,0.1889,0.5391,1
38,0,salaried,1.7,4878.0,3028.0,735,2,1344.0,224500.0,240,13.7,505000.0,16334.0,0,0,0.8963,2742.92,0.8378,0.1037,3.8352,1
46,2,salaried,3.7,5433.0,2064.0,626,0,0.0,36600.0,48,11.9,0.0,22364.0,5,0,0.3799,962.02,0.1771,0.6201,0.5614,1
64,1,salaried,11.9,8728.0,5844.0,783,1,722.0,168700.0,84,9.2,414300.0,13322.0,0,0,0.7523,2731.38,0.3957,0.2477,1.6107,1
54,5,salaried,0.5,2805.0,1336.0,671,0,0.0,80100.0,36,8.0,0.0,4234.0,0,0,0.4763,2510.04,0.8948,0.5237,2.3797,1
30,2,business_owner,16.1,7373.0,5029.0,746,3,3137.0,201400.0,84,15.2,481200.0,4067.0,0,0,1.1076,3909.0,0.9556,-0.1076,2.2763,0
56,0,self_employed,0.8,4565.0,1626.0,504,0,0.0,102900.0,12,14.3,213600.0,11641.0,1,0,0.3562,9253.63,2.0,0.6438,1.8784,0
34,1,business_owner,1.6,1500.0,1095.0,670,1,178.0,69200.0,240,8.1,0.0,1516.0,0,0,0.8487,583.13,0.5074,0.1513,3.8444,1
51,1,freelancer,0.7,1856.0,574.99,686,2,472.0,99000.0,48,5.9,0.0,4385.0,0,0,0.5383,2320.48,1.5046,0.4617,4.445,0
35,2,salaried,4.9,7637.0,3446.0,761,0,0.0,262200.0,36,8.8,446000.0,13246.0,1,0,0.4512,8313.51,1.0886,0.5488,2.8611,1
28,3,business_owner,17.7,17026.0,10806.0,609,2,4049.0,500000.0,48,5.5,1108100.0,80390.0,0,1,0.8725,11628.24,0.9208,0.1275,2.4472,0
34,2,salaried,11.5,3447.0,2420.0,502,2,555.0,93100.0,360,10.7,0.0,5949.0,0,0,0.8631,865.57,0.4121,0.1369,2.2507,0
43,0,salaried,6.6,4918.0,3485.0,712,1,500.0,145300.0,360,9.7,334200.0,7452.0,1,1,0.8103,1243.02,0.3544,0.1897,2.462,1
60,2,self_employed,1.7,1697.0,911.0,699,3,1383.0,90800.0,24,7.2,0.0,842.0,0,0,1.3518,4073.59,2.0,-0.3518,4.4588,0
41,0,salaried,12.7,3588.0,2312.0,727,0,0.0,74900.0,120,11.6,0.0,2446.0,1,0,0.6444,1057.35,0.2947,0.3556,1.7396,1
36,3,salaried,8.9,3461.0,1413.0,607,1,369.0,38100.0,12,11.0,0.0,1277.0,0,0,0.5149,3367.34,1.0796,0.4851,0.9174,1
38,2,freelancer,2.4,2723.0,1086.0,805,1,312.0,76000.0,24,12.9,0.0,35683.0,1,0,0.5134,3609.61,1.4402,0.4866,2.3259,1
44,1,business_owner,10.3,8136.0,4187.0,760,2,869.0,212300.0,36,9.5,528600.0,32010.0,1,0,0.6214,6800.6,0.9427,0.3786,2.1745,1
46,1,salaried,13.1,7306.0,4201.0,850,2,1835.0,378700.0,60,11.7,700800.0,22004.0,0,0,0.8262,8366.67,1.3963,0.1738,4.3195,1
45,3,salaried,7.7,6978.0,2790.0,671,2,4077.0,142800.0,24,15.5,332800.0,4945.0,3,0,0.9841,6957.86,1.5814,0.0159,1.7054,0
61,3,self_employed,1.1,1767.0,1502.0,526,3,1039.0,40300.0,36,3.5,0.0,9045.0,1,0,1.438,1180.87,1.2563,-0.438,1.9006,0
49,1,freelancer,25.4,2310.0,1036.0,717,0,0.0,59100.0,120,12.6,0.0,3794.0,0,0,0.4485,868.54,0.376,0.5515,2.132,1
35,1,salaried,1.0,6949.0,5907.0,671,1,1842.0,78600.0,180,4.0,0.0,31264.0,0,0,1.1151,581.39,0.3487,-0.1151,0.9426,1
21,2,business_owner,6.9,21840.0,10644.0,615,2,11362.0,253200.0,36,10.2,344700.0,149075.0,0,0,1.0076,8193.85,0.8954,-0.0076,0.9661,0
45,0,freelancer,1.2,3634.0,1430.0,762,1,466.0,176400.0,120,5.5,437500.0,2663.0,3,1,0.5217,1914.4,0.655,0.4783,4.0451,0
27,0,self_employed,14.6,1879.0,742.0,672,0,0.0,44200.0,84,4.3,0.0,26267.0,3,0,0.3949,610.28,0.3248,0.6051,1.9603,1
29,0,business_owner,3.1,13090.0,7056.0,585,3,3110.0,500000.0,180,5.4,985800.0,30403.0,0,0,0.7766,4058.93,0.5477,0.2234,3.1831,0
44,0,business_owner,4.8,8987.0,3711.0,544,0,0.0,111500.0,84,8.6,273600.0,14416.0,1,0,0.4129,1771.38,0.1971,0.5871,1.0339,1
21,2,salaried,1.7,2636.0,1661.0,619,4,3104.0,130100.0,240,6.8,181300.0,4542.0,0,0,1.5,993.1,1.5543,-0.5,4.1129,0
64,5,salaried,5.2,3565.0,2420.0,660,0,0.0,118900.0,24,11.0,270200.0,31241.0,0,0,0.6788,5541.67,1.5545,0.3212,2.7793,1
28,2,freelancer,17.3,2497.0,1387.0,569,0,0.0,76000.0,36,10.1,0.0,26558.0,0,0,0.5555,2455.88,0.9835,0.4445,2.5364,0
44,0,retired,14.4,1500.0,1135.0,780,1,436.0,82000.0,84,6.9,0.0,4698.0,0,0,1.0473,1233.6,1.1131,-0.0473,4.5556,1
31,2,freelancer,0.9,6286.0,4179.0,702,0,0.0,227400.0,36,9.1,342200.0,12173.0,1,0,0.6648,7241.85,1.1521,0.3352,3.0146,1
37,1,salaried,3.4,3770.0,1864.0,647,2,1868.0,168400.0,36,6.1,322900.0,30479.0,0,0,0.9899,5130.69,1.8564,0.0101,3.7224,0
28,0,freelancer,2.4,3198.0,1893.0,678,0,0.0,163400.0,60,13.5,341400.0,37759.0,0,0,0.5919,3759.81,1.1757,0.4081,4.2579,1
55,4,salaried,4.4,3410.0,2034.0,593,1,194.0,134800.0,48,12.0,289400.0,9002.0,3,0,0.6534,3549.8,1.0979,0.3466,3.2942,0
55,1,retired,11.3,2512.0,1563.0,749,0,0.0,50400.0,24,7.1,0.0,53743.0,1,0,0.6222,2258.82,0.8992,0.3778,1.672,1
53,5,salaried,8.6,6472.0,3801.0,757,0,0.0,97100.0,60,11.7,0.0,26847.0,0,0,0.5873,2145.24,0.3315,0.4127,1.2503,1
25,1,retired,3.0,2048.0,574.99,703,0,0.0,81700.0,48,4.4,0.0,997.0,0,0,0.25,1859.37,0.9079,0.75,3.3244,1
62,2,salaried,3.4,3415.0,1271.0,644,2,688.0,189900.0,36,11.7,406900.0,1020.0,0,0,0.5736,6280.22,2.0,0.4264,4.634,1
59,0,retired,6.9,1500.0,574.99,698,3,588.0,74600.0,48,8.5,0.0,5053.0,2,1,0.7747,1838.76,1.6178,0.2253,4.1444,0
61,1,salaried,1.8,4415.0,1849.0,734,0,0.0,250100.0,36,12.7,380000.0,6669.0,0,0,0.4188,8390.76,1.9005,0.5812,4.7206,1
48,0,freelancer,1.2,1946.0,1132.0,602,1,202.0,21300.0,24,9.8,0.0,2344.0,0,0,0.6855,980.92,0.6079,0.3145,0.9121,0
27,3,retired,2.2,1500.0,624.0,687,2,306.0,25600.0,48,8.6,0.0,3202.0,0,0,0.62,632.21,0.6255,0.38,1.4222,1
29,3,self_employed,1.3,22629.0,12742.0,753,1,2724.0,500000.0,36,8.9,775400.0,175902.26,0,0,0.6835,15876.61,0.822,0.3165,1.8413,1
28,3,freelancer,3.1,1500.0,760.0,601,1,387.0,17899.0,12,13.5,0.0,6013.0,1,0,0.7647,1307.46,1.1296,0.2353,0.8111,0
32,3,salaried,17.1,4277.0,2219.0,718,4,5081.0,175200.0,24,7.0,335100.0,1570.0,0,0,1.5,7844.16,2.0,-0.5,3.4136,0
54,3,self_employed,1.3,4504.0,3477.0,628,2,1869.0,128500.0,48,15.4,191500.0,6375.0,0,0,1.1869,3602.36,1.2148,-0.1869,2.3775,0
53,0,business_owner,10.7,19690.0,15018.0,563,2,3690.0,500000.0,36,8.9,1169800.0,83905.0,2,0,0.9501,15876.61,0.9937,0.0499,2.1161,0
43,1,salaried,5.1,5296.0,2248.0,703,2,554.0,127600.0,24,13.1,258100.0,125723.0,2,0,0.5291,6072.33,1.2512,0.4709,2.0078,1
44,2,freelancer,6.5,1726.0,1324.0,634,1,463.0,21800.0,36,6.3,0.0,2249.0,0,0,1.0353,666.17,0.6542,-0.0353,1.0525,0
57,2,freelancer,1.6,6100.0,3288.0,619,1,710.0,179600.0,120,15.2,221900.0,13249.0,0,0,0.6554,2919.61,0.595,0.3446,2.4536,0
55,2,salaried,1.5,2997.0,2547.0,823,3,756.0,134200.0,12,14.6,228800.0,30197.0,0,0,1.1021,12087.35,2.0,-0.1021,3.7315,0
64,0,salaried,1.6,9235.0,5315.0,571,1,1184.0,178000.0,36,11.8,377000.0,93455.0,0,0,0.7037,5895.16,0.7666,0.2963,1.6062,0
60,0,salaried,7.1,3566.0,2135.0,654,0,0.0,197900.0,48,6.6,324300.0,1101.0,0,0,0.5987,4702.32,1.3187,0.4013,4.6247,1
42,4,salaried,8.8,2273.0,1767.0,759,0,0.0,56100.0,48,10.6,0.0,15016.0,0,0,0.7774,1439.06,0.6331,0.2226,2.0568,1
47,2,business_owner,15.7,11310.0,3198.0,738,0,0.0,293900.0,360,7.7,627900.0,30318.0,0,0,0.2828,2095.39,0.1853,0.7172,2.1655,1
55,0,freelancer,3.5,2472.0,1019.0,799,1,496.0,48500.0,36,15.2,0.0,1840.0,0,0,0.6129,1686.02,0.8827,0.3871,1.635,1
21,3,salaried,4.2,1500.0,1275.0,650,1,293.0,79700.0,120,10.7,0.0,6767.0,2,0,1.0453,1084.38,0.9183,-0.0453,4.4278,0
55,4,salaried,4.3,4953.0,1511.0,693,2,1415.0,93600.0,48,12.0,0.0,14183.0,3,0,0.5908,2464.85,0.7833,0.4092,1.5748,0
57,0,freelancer,2.4,8270.0,7030.0,681,1,561.0,157900.0,240,10.1,334300.0,47668.0,1,0,0.9179,1534.25,0.2534,0.0821,1.5911,1
34,3,salaried,2.9,3929.0,2528.0,768,0,0.0,145300.0,24,14.3,303500.0,12702.0,0,0,0.6434,6996.88,1.7808,0.3566,3.0818,1
23,4,salaried,11.8,2850.0,1272.0,633,1,835.0,124500.0,180,10.0,306800.0,23715.0,1,0,0.7393,1337.88,0.7624,0.2607,3.6404,0
21,4,salaried,3.0,6848.0,4830.0,630,2,1600.0,99000.0,36,7.9,0.0,10606.0,2,0,0.939,3097.74,0.686,0.061,1.2047,0
25,4,business_owner,12.7,9468.0,7547.0,696,1,2079.0,130800.0,48,13.1,299900.0,1898.0,0,0,1.0167,3515.53,0.5909,-0.0167,1.1512,1
46,2,salaried,2.7,2376.0,1315.0,770,1,199.0,17899.0,360,7.2,0.0,3570.0,2,1,0.6372,107.93,0.1292,0.3628,0.5577,1
34,1,salaried,3.0,9970.0,3112.0,699,1,1857.0,157800.0,36,10.8,294800.0,12814.0,2,0,0.4984,5151.24,0.7029,0.5016,1.319,1
59,0,retired,5.4,2058.0,1057.0,595,2,975.0,34100.0,36,10.0,0.0,10797.0,0,0,0.9874,1100.31,1.0084,0.0126,1.3808,0
47,0,salaried,1.2,3843.0,2020.0,610,1,229.0,140400.0,60,8.4,179400.0,20221.0,0,0,0.5852,2873.76,0.8074,0.4148,3.0445,0
29,1,business_owner,15.8,9587.0,5501.0,750,0,0.0,265800.0,24,10.9,355400.0,38612.0,0,0,0.5738,12376.03,1.2909,0.4262,2.3104,1
35,1,salaried,10.8,4774.0,2655.0,850,1,389.0,210700.0,120,9.9,348600.0,11865.0,0,0,0.6376,2772.76,0.6623,0.3624,3.6779,1
35,0,salaried,7.2,2614.0,1677.0,788,2,835.0,34500.0,60,11.4,0.0,1161.0,1,0,0.961,757.01,0.609,0.039,1.0998,1
46,1,salaried,27.1,9515.0,5005.0,850,3,4077.0,306700.0,180,5.6,372500.0,28052.0,0,0,0.9545,2522.3,0.6936,0.0455,2.6861,1
62,0,salaried,0.6,8686.0,2383.0,788,3,4036.0,430500.0,24,7.4,809700.0,95765.0,0,0,0.739,19352.76,2.0,0.261,4.1302,1
33,3,salaried,3.7,4182.0,2545.0,644,1,867.0,50800.0,36,10.3,0.0,35904.0,1,0,0.8159,1646.34,0.601,0.1841,1.0123,0
52,1,salaried,12.2,4047.0,3128.0,657,2,1534.0,157000.0,60,8.1,243200.0,296.0,0,0,1.152,3190.91,1.1675,-0.152,3.2328,0
59,2,salaried,3.9,3161.0,1581.0,715,1,713.0,67500.0,48,9.9,0.0,23005.0,2,0,0.7257,1708.73,0.7661,0.2743,1.7795,1
52,2,salaried,0.5,5630.0,3116.0,697,0,0.0,146800.0,24,9.0,366400.0,16906.0,2,0,0.5535,6706.52,1.1912,0.4465,2.1729,0
24,0,freelancer,1.5,7971.0,5955.0,706,2,2879.0,180800.0,36,11.4,225400.0,14851.0,0,1,1.1083,5953.47,1.1081,-0.1083,1.8902,0
50,4,business_owner,3.9,5593.0,1644.0,502,0,0.0,331600.0,240,12.5,698100.0,10679.0,0,0,0.2939,3767.44,0.6736,0.7061,4.9407,1
57,2,business_owner,7.1,10820.0,7923.0,713,1,2177.0,500000.0,60,11.0,1000100.0,3213.0,3,0,0.9335,10871.21,1.2059,0.0665,3.8509,1
43,1,self_employed,1.6,9101.0,3034.0,652,0,0.0,149300.0,360,15.2,272900.0,30127.0,2,0,0.3334,1911.71,0.2101,0.6666,1.3671,1
59,0,retired,4.1,1698.0,756.0,698,0,0.0,28500.0,60,7.2,0.0,3000.0,0,0,0.4452,567.03,0.3339,0.5548,1.3987,1
35,1,salaried,0.6,5291.0,2036.0,821,0,0.0,145600.0,24,15.7,304700.0,13260.0,3,0,0.3848,7108.18,1.3434,0.6152,2.2932,1
63,0,salaried,4.4,3477.0,2683.0,652,2,363.0,125400.0,36,8.8,188700.0,8971.0,1,1,0.876,3976.02,1.2479,0.124,3.0055,0
49,1,salaried,14.1,9802.0,4550.0,850,1,728.0,91200.0,24,6.1,0.0,33444.0,0,0,0.5385,4046.15,0.4871,0.4615,0.7754,1
56,2,freelancer,5.9,5505.0,2503.0,621,4,3810.0,323900.0,120,6.3,673500.0,17953.0,0,0,1.1468,3644.94,1.3542,-0.1468,4.9031,0
33,4,business_owner,4.0,10783.0,7342.0,831,2,1310.0,270000.0,60,10.5,393000.0,20865.0,2,0,0.8024,5803.35,0.6597,0.1976,2.0866,1
52,2,self_employed,1.6,9178.0,7801.0,648,2,2350.0,198300.0,360,5.6,356000.0,79034.0,1,0,1.106,1138.4,0.3801,-0.106,1.8005,0
27,0,salaried,1.9,4458.0,3015.0,684,1,923.0,171500.0,36,14.1,264200.0,13494.0,0,0,0.8834,5869.8,1.5237,0.1166,3.2058,0
42,0,freelancer,1.0,3468.0,2083.0,726,1,888.0,136100.0,84,5.7,305000.0,2962.0,3,0,0.8567,1968.71,0.8237,0.1433,3.2704,0
48,1,salaried,8.6,5027.0,2408.0,788,0,0.0,109900.0,120,11.7,163500.0,13866.0,1,0,0.479,1557.75,0.3099,0.521,1.8218,1
22,0,self_employed,1.0,7733.0,4276.0,760,2,3560.0,328800.0,84,9.8,626500.0,75297.0,0,0,1.0133,5424.55,1.1618,-0.0133,3.5433,0
62,0,self_employed,3.4,2499.0,1058.0,760,2,885.0,67400.0,36,10.9,0.0,11525.0,1,0,0.7775,2203.4,1.2359,0.2225,2.2476,1
26,3,salaried,8.8,8207.0,5761.0,631,0,0.0,428600.0,24,13.8,598600.0,142601.0,1,0,0.702,20537.85,2.0,0.298,4.352,0
48,0,salaried,8.0,9520.0,5583.0,805,1,2406.0,116000.0,84,12.2,172600.0,11292.0,0,0,0.8392,2060.14,0.4691,0.1608,1.0154,1
48,3,freelancer,5.7,2388.0,1253.0,680,2,1422.0,63200.0,36,10.0,0.0,12845.0,0,0,1.1202,2039.29,1.4495,-0.1202,2.2055,0
64,0,self_employed,5.6,10878.0,2927.0,641,3,3242.0,164300.0,48,10.1,308300.0,25088.0,0,0,0.5671,4174.97,0.6818,0.4329,1.2587,0
64,5,salaried,1.1,4423.0,1930.0,532,2,688.0,226100.0,36,9.9,329700.0,23822.0,0,0,0.5919,7285.0,1.8026,0.4081,4.2599,0
40,2,salaried,1.7,7793.0,5281.0,716,0,0.0,122700.0,24,9.9,210800.0,2365.0,2,0,0.6777,5656.32,0.7258,0.3223,1.3121,1
50,3,retired,5.1,1500.0,1187.0,759,1,100.0,39700.0,48,12.3,0.0,5407.0,0,0,0.858,1051.31,0.7675,0.142,2.2056,1
31,0,salaried,3.1,1618.0,1306.0,663,0,0.0,18900.0,180,10.3,0.0,6342.0,0,0,0.8072,206.58,0.1277,0.1928,0.9734,1
48,3,salaried,0.6,7367.0,4506.0,850,3,4188.0,348400.0,36,8.5,502200.0,32607.0,0,0,1.1801,10998.13,2.0,-0.1801,3.941,0
45,3,self_employed,10.1,6148.0,3307.0,763,1,1138.0,89300.0,60,12.3,0.0,19707.0,0,0,0.723,1999.99,0.5104,0.277,1.2104,1
